siRNA ID,Catalog Number,Gene Symbol,Gene Name,Alias,RefSeq,GenBank mRNA,Product Family,siRNA Type,Availability,siRNA Assay,Matched Keywords,,,,
s7218,4390824,IGF2R,insulin like growth factor 2 receptor,CD222;CI-M6PR;CIMPR;M6P-R;M6P/IGF2R;MPR 300;MPR1;MPR300;MPRI,NM_000876.3,AK300848.1;Y00285.1;J03528.1;AB209668.1,,Silencer® Select,Inventoried,,*,,,,
s409,4390824,UGDH,UDP-glucose 6-dehydrogenase,GDH;UDP-GlcDH;UDPGDH;UGD,XM_005262667.2;NM_001184700.1;NM_003359.3,BC022781.1;AK097930.1;AU131705.1;AF061016.1;CN405740.1;AJ007702.1;AL708740.1,,Silencer® Select,Inventoried,,*,,,,
s30873,4390824,STRADB,STE20-related kinase adaptor beta,ALS2CR2;CALS-21;ILPIP;ILPIPA;PAPK;PRO1038,NM_001206864.1;XM_017004438.1;XM_005246669.1;NM_018571.5,AY093697.1;AK024720.1;AB038950.1;AF116618.2;BC008302.1;AK290457.1;AK027637.1;BC090871.1,,Silencer® Select,Inventoried,,*,,,,
s10111,4390824,PCDH7,protocadherin 7,BH-Pcdh;BHPCDH;PPP1R120,XM_005248163.3;XM_011513842.2;NM_002589.2;NM_032457.3;XM_005248166.3;XM_005248164.3;XM_011513843.2;XM_017008259.1;XM_017008260.1;XM_017008261.1;NM_032456.2;XM_017008262.1;XM_017008263.1;XM_017008264.1;NM_001173523.1;XM_017008265.1;XM_017008266.1;XM_017008267.1;XM_017008268.1;XM_017008269.1;XM_017008270.1;XM_017008271.1;XM_017008272.1;XM_011513844.2,AB006756.1;AB006757.1;AB006755.1,,Silencer® Select,Inventoried,,*,,,,
s34075,4390824,ELOVL5,ELOVL fatty acid elongase 5,HELO1;SCA38;dJ483K16.1,NM_001301856.1;NM_021814.4;NM_001242830.1;NM_001242828.1,AF111849.1;AK125098.1;BC009838.2;AL136939.1;AK074889.1;AK299674.1;BC067123.1;AF338241.1;AB209798.1;AK302948.1;BC017270.2;AF231981.1;AK074748.1,,Silencer® Select,Inventoried,,*,,,,
s14307,4390824,TOP2A,topoisomerase (DNA) II alpha,TOP2;TP2A,NM_001067.3;XM_011525165.1;XM_005257632.1,BC140791.1;BC013429.1;J04088.1,,Silencer® Select,Inventoried,,*,,,,
s26816,4390824,PSAT1,phosphoserine aminotransferase 1,EPIP;NLS2;PSA;PSAT;PSATD,NM_021154.4;NM_058179.3,AK025460.1;AF113132.1;BC004863.2;AY131232.1;BC016645.2;AK295222.1;BC018129.1;AK295310.1;BC000971.1;DC300904.1;BT006840.1;DC332195.1,,Silencer® Select,Inventoried,,*,,,,
s9691,4390824,NPR3,natriuretic peptide receptor 3,ANP-C;ANPR-C;ANPRC;C5orf23;GUCY2B;NPR-C;NPRC,XM_011514049.2;NM_001204376.1;XM_011514048.2;NM_001204375.1;XM_011514047.1;XM_005248309.1;XM_017009492.1;NM_000908.3,AK300094.1;AK308301.1;AF025998.1;BC131540.1;M59305.1;AK290870.1;X52282.1,,Silencer® Select,Inventoried,,*,,,,
s9417,4390824,NEDD4,neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase,NEDD4-1;RPF1,NM_198400.3;XM_011521626.1;XM_011521627.1;NM_001284339.1;NM_001284338.1;NM_001284340.1;XM_011521625.2;NM_006154.3;XM_011521624.2,BC136605.1;AL832063.1;BC152562.1;BC152452.1;AK304394.1;D42055.1;AL833300.1;BC144284.1;BC035707.1;AL832359.1;BC144285.1;AY550969.1;AK307541.1,,Silencer® Select,Inventoried,,*,,
s17680,4390824,UBE2L6,ubiquitin conjugating enzyme E2 L6,RIG-B;UBCH8,NM_198183.2;NM_004223.4,AK093462.1;CR457126.1;AK129621.1;AF061736.1;AK226165.1;AK315755.1;BC032491.1;AF031141.1,,Silencer® Select,Inventoried,,*,,,,
s5573,4390824,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,G3PD;GAPD;HEL-S-162eP,NM_002046.5;NM_001256799.2;NM_001289745.1;NM_001289746.1,BU155402.1;HQ727992.1;BC004109.2;HY046784.1;BC013310.2;BC025925.1;BC020308.1;AF261085.1;BC009081.1;DQ403057.1;CR407671.1;M33197.1;BC029340.1;BC023632.2;X53778.1;EU668321.1;AY007133.1;BC001601.1;BC029618.1;BT006893.1;BC026907.1;HY000136.1;AB062273.1;AK026525.1;AK308198.1;BC083511.1;HY022295.1;X01677.1;BI463134.1;BM763361.1;AK299448.1;J02642.1;BG724119.1;HY004110.1;M17851.1;AY633612.1,,Silencer® Select,Inventoried,,*,,,,
s8153,4390824,LGALS3BP,galectin 3 binding protein,90K;BTBD17B;CyCAP;M2BP;MAC-2-BP;TANGO10B;gp90,NM_005567.3,AK293183.1;L13210.1;AK301040.1;X79089.1;KU178164.1;AK057776.1;BC002403.2;BC015761.1;BC002998.1;AK307665.1;AK301444.1;AK055977.1,,Silencer® Select,Inventoried,,*,,,,
s224245,4390824,ATP5G2,ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9),ATP5A,NM_001002031.2;XM_017019460.1;NM_005176.5;XM_017019462.1;XM_017019461.1,BC020826.2;AK311357.1;BX348847.1;AV737582.1;BC013839.2;BF337574.1;BQ682406.1;BG217012.1;AK075351.1;AK130971.1;D13119.1,,Silencer® Select,Inventoried,,*,,
s26895,4390824,SH3KBP1,SH3 domain containing kinase binding protein 1,CD2BP3;CIN85;GIG10;HSB-1;HSB1;MIG18,XM_017029465.1;NM_001024666.2;XM_017029463.1;NM_001184960.1;XM_017029469.1;XM_005274494.2;NM_031892.2;XM_011545498.2;XM_011545499.2;XM_017029461.1;XM_011545502.2;XM_017029459.1;XM_017029460.1,AK300189.1;AK293234.1;AF329267.1;AF329268.1;AK313308.1;AF230904.1;AY542305.1;AK293237.1;AF542051.1;AY423734.1;BC015806.1,,Silencer® Select,Inventoried,,*,,,,
s37186,4390824,PDGFD,platelet derived growth factor D,IEGF;MSTP036;SCDGF-B;SCDGFB,NM_025208.4;NM_033135.3,AY027518.1;AF336376.1;AK292801.1;BC030645.2;AY359116.1;AF113216.1;AB033832.1;AF335584.1;AY027517.1,,Silencer® Select,Inventoried,,*,,,,
s14724,4390824,USP1,ubiquitin specific peptidase 1,UBP,NM_003368.4;NM_001017416.1;NM_001017415.1,AB014458.1;AB208893.1;AK312423.1;AL117575.1;BC023216.1;AF117386.1;BC050525.1,,Silencer® Select,Inventoried,,*,,,,
s7495,4390824,IRAK2,interleukin 1 receptor associated kinase 2,IRAK-2,NM_001570.3,AL538890.3;AK299033.1;AK312841.1;BC125184.1;AJ496794.1;AF026273.1,,Silencer® Select,Inventoried,,*,,,,
s408,4390824,RARS2,arginyl-tRNA synthetase 2, mitochondrial,ArgRS;DALRD2;PCH6;PRO1992;RARSL,XM_017011075.1;XM_017011074.1;XM_017011077.1;XM_017011076.1;NR_134857.1;XM_017011073.1;XM_011535948.2;XM_017011072.1;XM_011535949.2;NM_020320.4;XM_017011079.1;NM_001318785.1;XM_017011078.1;XM_017011081.1;XM_017011080.1,AK023550.1;AK093934.1;BC105784.1;AK315669.1;BC010420.1,,Silencer® Select,Inventoried,,*,,,
s334,4390824,PTGS1,prostaglandin-endoperoxide synthase 1,COX1;COX3;PCOX1;PES-1;PGG/HS;PGHS-1;PGHS1;PHS1;PTGHS,NM_080591.2;XM_011518875.2;NM_000962.3;XM_011518876.2;NM_001271367.1;NM_001271164.1;NM_001271166.1;NM_001271368.1;NM_001271165.1;XM_005252105.3;XM_017014929.1,AK308222.1;BC029840.1;DQ180742.1;M59979.1;AK304403.1;CD014048.1;S78220.1;S36219.1;CD014049.1;S36271.1;AK290022.1;AK295221.1;DQ180741.1,,Silencer® Select,Inventoried,,*,,,,
s3640,4390824,CSNK2A2,casein kinase 2 alpha 2,CK2A2;CK2alpha';CSNK2A1,XM_017022945.1;XM_005255800.3;XM_005255801.3;NM_001896.2,BC008812.2;M55268.1,,Silencer® Select,Inventoried,,*,,,,
s464,4390824,CDK1,cyclin dependent kinase 1,CDC2;CDC28A;P34CDC2,NM_001170406.1;NM_033379.4;XM_005270303.3;NM_001786.4;NM_001170407.1;NM_001320918.1,Y00272.1;BG723076.1;BF685285.1;BC014563.1;CR933728.1;BT007004.1;BC107750.1;X05360.1;AK295741.1;AW976143.1;AK291939.1;D88357.1;DA823877.1,,Silencer® Select,Inventoried,,*,,,,
s737,4390824,SCN1B,sodium voltage-gated channel beta subunit 1,ATFB13;BRGDA5;GEFSP1,NM_001037.4;NM_199037.4;NM_001321605.1,L16242.1;BC067122.1;BC021266.2;AK313279.1;DA062026.1;L10338.1;BM805468.1;BT019923.1;AY391842.1,,Silencer® Select,Inventoried,,*,,,,
s224149,4390824,P2RX5;P2RX5-TAX1BP3,purinergic receptor P2X 5;P2RX5-TAX1BP3 readthrough (NMD candidate),LRH-1;P2X5;P2X5R,NM_002561.3;NM_001204519.1;NR_037928.1;NM_175080.2;NM_001204520.1,AB209623.1;AF070573.1;AK290889.1;U49396.1;U49395.1;BC039015.1;AF016709.1;AK307959.1;AK293610.1;DQ234349.1,,Silencer® Select,Inventoried,,*,,,,
s19865,4390824,ALG3,ALG3, alpha-1,3- mannosyltransferase,CDG1D;CDGS4;CDGS6;D16Ertd36e;NOT56L;Not56;not,XM_011512323.2;NM_005787.5;NM_001006941.2;NR_024534.1;XM_011512322.1,KP189299.1;KP189321.1;KP189282.1;KP189322.1;KP189301.1;KP189323.1;KP189284.1;KP189285.1;KP189308.1;KP189310.1;KP189290.1;KP189312.1;KP189292.1;KP189313.1;KP189314.1;AK289361.1;BC002839.2;KP189302.1;Y09022.1;BM920198.1;KP189303.1;KP189305.1;KP189287.1;KP189307.1;KP189289.1;KP189294.1;KP189315.1;BC021062.1;BX339649.2;KP189295.1;KP189316.1;KP189296.1;KP189317.1;KP189297.1;KP189279.1;BC004313.1;KP189280.1,,Silencer® Select,Inventoried,,*,,
s708,4390824,ENDOG,endonuclease G,,NM_004435.2;XM_011518347.2,BC016351.1;AK130973.1;BC004922.2;X79444.1,,Silencer® Select,Inventoried,,*,,,,
s4549,4390824,EHHADH,enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase,ECHD;FRTS3;L-PBE;LBFP;LBP;PBFE,NM_001166415.1;NM_001966.3;XM_011512517.1;XM_017005839.1;XM_006713525.1,L07077.1;BC030982.1;AK291798.1;BC110460.2;AK301521.1;BC038948.1;AK223460.1,,Silencer® Select,Inventoried,,*,,,
s14567,4390824,UBE2A,ubiquitin conjugating enzyme E2 A,HHR6A;MRXS30;MRXSN;RAD6A;UBC2,NM_181762.2;NM_001282161.1;NM_003336.3,BC010175.2;AK223064.1;BI093289.1;AK297696.1;DA068506.1;BC042021.1;M74524.1;AK223045.1;AK313092.1;AK301675.1,,Silencer® Select,Inventoried,,*,,,,
s125,4390824,PPP4R1,protein phosphatase 4 regulatory subunit 1,MEG1;PP4(Rmeg);PP4R1,NR_052003.1;XM_011525779.2;XM_017026107.1;XM_011525776.1;XM_017026105.1;XM_011525775.2;XM_017026106.1;NM_005134.3;NM_001042388.2,AF200478.1;AK027064.1;DR006046.1;AK292538.1;AK315106.1;BC060829.1;AF111106.1;AK293869.1,,Silencer® Select,Inventoried,,*,,,,
s5572,4390824,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,G3PD;GAPD;HEL-S-162eP,NM_002046.5;NM_001256799.2;NM_001289745.1;NM_001289746.1,BU155402.1;BC004109.2;BC013310.2;BC025925.1;BC020308.1;AF261085.1;BC009081.1;DQ403057.1;M33197.1;CR407671.1;EF036498.1;BC029340.1;BC023632.2;EU668321.1;X53778.1;AY007133.1;BC001601.1;BC029618.1;BT006893.1;BC026907.1;AB062273.1;AK026525.1;BC083511.1;AK308198.1;X01677.1;AK299448.1;J02642.1;BM763361.1;BG724119.1;M17851.1;AY633612.1,,Silencer® Select,Inventoried,,*,,,,
s29711,4390824,PXK,PX domain containing serine/threonine kinase like,MONaKA,XM_017006692.1;XM_005265256.3;XM_017006690.1;XM_017006696.1;XM_017006694.1;XM_017006700.1;XM_017006698.1;XM_017006704.1;XM_017006673.1;XM_017006702.1;XM_017006671.1;XM_017006677.1;XM_005265255.3;XM_017006675.1;NM_001289100.1;XM_017006681.1;XM_017006679.1;NM_001289096.1;XM_005265250.4;XM_017006685.1;NM_001289098.1;XM_017006683.1;XM_017006689.1;XM_017006687.1;XM_017006693.1;XM_017006691.1;XM_005265252.4;XM_017006697.1;XM_017006695.1;XM_017006701.1;XM_017006699.1;XM_017006672.1;XM_017006703.1;XM_017006676.1;XM_017006674.1;XM_017006680.1;NM_001289099.1;XM_017006678.1;NM_001289101.1;XM_017006684.1;NM_017771.4;NM_001289095.1;XM_017006682.1;XM_017006688.1;XM_017006686.1,AK296215.1;AB209688.1;DQ124708.1;AY847221.1;BC008943.2;AY274811.1;AK295542.1;AF399753.1;BC014479.1;DQ124707.1;AY847222.1;AY437879.1;AK131385.1;KF774202.1;KF774204.1;KF774203.1;AY847220.1;AK000342.1;AK296034.1,,Silencer® Select,Inventoried,,*,,,,
s10981,4390824,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha,B56A;PR61A,NM_001199756.1;NM_006243.3,BC022474.1;BC110883.1;AK312530.1;L42373.1;AK302202.1,,Silencer® Select,Inventoried,,*,,,,
s19705,4390824,DNAL4,dynein axonemal light chain 4,MRMV3;PIG27,NM_005740.2,BT009847.1;CR456487.1;AK223349.1;AY453399.1;AL035366.1;BX473356.1;CR542177.1;AK290566.1;BC002968.1,,Silencer® Select,Inventoried,,*,,,,
s26576,4390824,CARD10,caspase recruitment domain family member 10,BIMP1;CARMA3,NM_014550.3,BC117403.1;BC032058.1;AY032928.1;AY028896.1;AK296176.1;BC113659.1;AK074906.1,,Silencer® Select,Inventoried,,*,,,,
s41692,4390824,OSBPL8,oxysterol binding protein like 8,MST120;MSTP120;ORP8;OSBP10,NM_020841.4;NM_001319652.1;XM_011537857.2;XM_011537856.2;XM_011537855.2;XM_005268621.4;XM_006719224.2;NM_001003712.1;XM_017018768.1;NM_001319655.1;XM_017018769.1;NM_001319653.1,AK055835.1;AF323730.1;AK289997.1;BC111728.1;AF392452.1;BC082235.1;AK092160.1;BX647211.1;CR749542.1;BC101529.1;BC093834.1;AB040884.3,,Silencer® Select,Inventoried,,*,,,,
s11534,4390824,PTPRA,protein tyrosine phosphatase, receptor type A,HEPTP;HLPR;HPTPA;HPTPalpha;LRP;PTPA;PTPRL2;R-PTP-alpha;RPTPA,NM_080841.2;NM_002836.3;NM_080840.2,BX571753.1;BI597187.1;X53364.1;X54890.1;AK294499.1;BC027308.1;X54130.1;AK290233.1;AB209702.1;M34668.1;AK294990.1,,Silencer® Select,Inventoried,,*,,,
s223235,4390824,OSBPL10,oxysterol binding protein like 10,ORP10;OSBP9,NM_017784.4;XM_011533326.2;XM_017005668.1;NM_001174060.1;XM_005264844.4;XM_017005667.1;XM_005264843.3;XM_017005669.1,AF346291.1;AL833247.1;AF392451.1;AK304067.1;BC003168.1;AK000370.1,,Silencer® Select,Inventoried,,*,,,,
s20808,4390824,USP16,ubiquitin specific peptidase 16,UBP-M;UBPM,NM_006447.2;NM_001032410.1;XM_017028260.1;NM_001001992.1;XM_017028261.1;XM_017028257.1;XM_017028258.1;XM_017028259.1,BC030777.2;AK222681.1;AK025104.1;AF126736.1;AK294284.1;AY333928.1;AK222884.1;AK025989.1;CB960929.1,,Silencer® Select,Inventoried,,*,,,,
s5030,4390824,FASN,fatty acid synthase,FAS;OA-519;SDR27X1,XM_011523538.2;NM_004104.4,BC007909.1;BC014631.2;AB209988.1;BC007267.1;S80437.1;BC063242.1;BC014634.2;U26644.1;U29344.1;AY451392.1,,Silencer® Select,Inventoried,,*,,,,
s21477,4390824,FASTK,Fas activated serine/threonine kinase,FAST,NM_033015.3;XM_011515763.1;XM_011515761.2;XM_011515762.2;NM_001258461.1;NM_006712.4;XM_017011704.1;XM_005249932.1;XM_017011706.1;XM_005249933.3;XM_017011705.1,BC011770.2;BC000377.2;X86779.1;AK223132.1;AK292232.1;AB209783.1;BC039026.2;BC006386.2,,Silencer® Select,Inventoried,,*,,,,
s17377,4390824,MTMR6,myotubularin related protein 6,,NM_004685.3;XM_011535306.1;XM_011535307.1;XM_017020845.1;XM_017020846.1,AL832017.2;AF072928.1;AK025507.1;BC040012.1;AK314587.1;AF406619.1,,Silencer® Select,Inventoried,,*,,,,
s15400,4390824,TUBA1A,tubulin alpha 1a,B-ALPHA-1;LIS3;TUBA3,NM_006009.3;NM_001270399.1;NM_001270400.1,BC050637.2;AK289483.1;AF141347.1;AF141348.1;AK298838.1;K00557.1;AK057842.1;BC006468.1,,Silencer® Select,Inventoried,,*,,,,
s23199,4390824,METAP1,methionyl aminopeptidase 1,MAP1A;MetAP1A,XM_017007914.1;XM_011531778.1;XM_017007915.1;XM_011531777.2;XM_017007916.1;NM_015143.2;XM_017007917.1;XM_011531779.1,CR936632.1;D42084.1;AK304239.1;BC030054.1,,Silencer® Select,Inventoried,,*,,,,
s35271,4390824,UBE2Z,ubiquitin conjugating enzyme E2 Z,HOYS7;USE1,NM_023079.4,BC015890.1;EF623992.1;AK122770.1;AB025426.1;DA928380.1;CR457322.1;AK296865.1;AK024030.1;AK023917.1;AK130303.1;BC015169.1,,Silencer® Select,Inventoried,,*,,,,
s34603,4390824,PAPD5,PAP associated domain containing 5,TRF4-2,XM_005256092.4;NM_001040285.2;XM_011523276.2;XM_011523278.2;NM_001040284.2;XM_017023555.1;XM_011523275.2;XM_005256093.4,AL833922.1;AK300918.1;BC143706.1;AK097589.1;FR872509.1;AK223410.1;AF089897.1;AK299294.1;BC089405.1;AK001141.1,,Silencer® Select,Inventoried,,*,,,,
s4071,4390824,DGUOK,deoxyguanosine kinase,MTDPS3;dGK,NM_080916.2;XM_011532647.2;NM_080918.2;NM_001318859.1,AU099795.1;KU178023.1;EL584040.1;BU580854.1;BC015757.1;U41668.1,,Silencer® Select,Inventoried,,*,,,,
s22379,4390824,MGLL,monoglyceride lipase,HU-K5;HUK5;MAGL;MGL,XM_011512377.1;NM_001256585.1;XM_011512378.1;XM_011512379.2;NM_007283.6;XM_011512383.2;NM_001003794.2;XM_017005664.1;XM_017005663.1;XM_017005662.1;XM_011512382.1;XM_017005666.1;XM_017005665.1,U67963.1;AK304844.1;BE302457.1;BC006230.2;BG249567.1;BC000551.2;AK091314.1;EU660904.1;BX403703.2;AJ270950.1;BG035493.1;DA240965.1;BP307995.1;AK315529.1;CR456835.1;AK310874.1;AY172950.1,,Silencer® Select,Inventoried,,*,,,,
s14669,4390824,UCK2,uridine-cytidine kinase 2,TSA903;UK;UMPK,XM_017002236.1;NM_012474.4,AK294537.1;AB062451.1;AF236637.1;BC002906.2;DR762696.1,,Silencer® Select,Inventoried,,*,,,,
s6644,4390824,HMBS,hydroxymethylbilane synthase,PBG-D;PBGD;PORC;UPS,NM_000190.3;XM_017017629.1;NM_001024382.1;XM_005271533.3;NM_001258208.1;NM_001258209.1;XM_005271532.1;XM_005271531.1;XM_011542796.1,BC019323.1;AK310343.1;BC008149.1;AK131072.1;X04217.1;AK309544.1;X04808.1;BX647328.1;AK000628.1;AK290275.1;BC000520.2,,Silencer® Select,Inventoried,,*,,,,
s5215,4390824,FKBP5,FK506 binding protein 5,AIG6;FKBP51;FKBP54;P54;PPIase;Ptg-10,NM_001145775.2;NM_001145776.1;NM_004117.3,BC111050.1;AK222807.1;U42031.1;AK312422.1;AK302704.1;AK303356.1;BX647390.1;U71321.1;AF194172.1;BC042605.1,,Silencer® Select,Inventoried,,*,,,,
s36256,4390824,SLC25A22,solute carrier family 25 member 22,EIEE3;GC-1;GC1;NET44,NM_001191060.1;XM_011520369.1;NM_024698.5;XM_011520371.1;NM_001191061.1;XM_011520370.1,AJ428202.1;BC023545.2;BC024212.2;AK023106.1;BC019033.2;AL832423.1,,Silencer® Select,Inventoried,,*,,,,
s20389,4390824,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,PIS;PIS1,XM_005255038.4;NM_001286586.1;NM_006319.4;NM_001286585.1,AK290632.1;AK300805.1;AK314544.1;AK097691.1;AK131227.1;AF014807.1;AK131349.1;CR542016.1;AK094468.1;BX333193.2;BT007301.1;AK310988.1;BI490060.1;AK222676.1;BC001444.2,,Silencer® Select,Inventoried,,*,,,,
s2727,4390824,ADGRE5,adhesion G protein-coupled receptor E5,CD97;TM7LN1,NM_078481.3;XM_011528451.2;NM_001784.4;NM_001025160.2;XM_017027547.1,AX775811.1;U76764.1;AK225655.1;AX775809.1;X84700.1;AK314697.1;AK225677.1;AX775813.1;AK304553.1;AK097264.1;AK308368.1;AK300343.1;AX775807.1;BC026690.2;AK292159.1,,Silencer® Select,Inventoried,,*,,,,
s379,4390824,AGMAT,agmatinase,,NM_024758.4,BC005090.1;AK130034.1;AK225366.1;AY057097.1,,Silencer® Select,Inventoried,,*,,,,
s26182,4390824,UBE2S,ubiquitin conjugating enzyme E2 S,E2-EPF;E2EPF;EPF5,NM_014501.2,AB062397.1;BC004236.2;BC066948.1;M91670.1;BC065364.1;BC007554.1,,Silencer® Select,Inventoried,,*,,,,
s21507,4390824,PRDX3,peroxiredoxin 3,AOP-1;AOP1;HBC189;MER5;PRO1748;SP-22;prx-III,NM_006793.4;NR_126102.1;NM_001302272.1,CR450344.1;D49396.1;BC111397.1;BG282768.1;BC021691.1;BC007062.1;BC059169.1;AV718278.1;AK130897.1;HY173455.1;BX382389.2;BC009601.1;CD687044.1;EF036492.1;BC022373.1;AK313169.1;AV761690.1;BC002685.1;BT020007.1;BC008435.1,,Silencer® Select,Inventoried,,*,,,,
s2844,4390824,CDKN2B,cyclin dependent kinase inhibitor 2B,CDK4I;INK4B;MTS2;P15;TP15;p15INK4b,NM_004936.3;NM_078487.2,BC014469.1;AF488410.1;AF488409.1,,Silencer® Select,Inventoried,,*,,,,
s10133,4390824,PCNA,proliferating cell nuclear antigen,ATLD2,NM_182649.1;NM_002592.2,M15796.1;BC062439.1;AK313286.1;BC000491.2;CR541799.1,,Silencer® Select,Inventoried,,*,,,,
s35239,4390824,NADK,NAD kinase,dJ283E3.1,XM_006710839.1;XM_006710838.2;NM_001198993.1;NM_001198995.1;XM_006710837.2;XM_017002143.1;XM_017002144.1;XM_005244778.2;NM_023018.4,BC001709.1;AY090771.1;AK291728.1;AK291599.1;AK290161.1;AK023114.1;AK296722.1,,Silencer® Select,Inventoried,,*,,,,
s11069,4390824,PRKACB,protein kinase cAMP-activated catalytic subunit beta,PKA C-beta;PKACB,NM_182948.3;XM_005271019.1;NM_001300916.1;NM_002731.3;XM_017001713.1;XM_017001711.1;XM_005271017.3;NM_207578.2;XM_017001709.1;XM_005271015.3;XM_017001707.1;XM_017001719.1;XM_017001717.1;XM_017001715.1;NM_001242859.2;NM_001242857.2;NM_001242861.2;XM_017001706.1;XM_005271020.1;XM_005271018.4;XM_006710758.1;NM_001300917.1;NM_001300915.1;XM_017001714.1;XM_017001712.1;XM_017001710.1;XM_005271016.1;XM_017001708.1;XM_017001720.1;XM_017001718.1;XM_017001716.1;NM_001242858.2;NM_001242862.2;NM_001242860.2,BX537705.1;CR936631.1;AK296482.1;BI598037.1;AK316115.1;M34181.1;AK091420.1;BM905428.1;AB451364.1;AK304322.1;AB451239.1;BC035058.1;AB209189.1;AK304375.1;BC016285.1;BX641026.1;BX369882.1;AK314550.1;BX647515.1,,Silencer® Select,Inventoried,,*,,,,
s10454,4390824,PHYH,phytanoyl-CoA 2-hydroxylase,LN1;LNAP1;PAHX;PHYH1;RD,NM_006214.3;NM_001323080.1;NM_001037537.1;NM_001323084.1;NM_001323083.1;NM_001323082.1,AF112977.1;AF023462.1;CR542055.1;BF509272.1;BC029512.1,,Silencer® Select,Inventoried,,*,,,,
s21118,4390824,MAP3K2,mitogen-activated protein kinase kinase kinase 2,MEKK2;MEKK2B,NM_006609.4,AB208963.1;AF111105.1;AK075004.1;AK315007.1;BC136293.1;AF239798.1,,Silencer® Select,Inventoried,,*,,,,
s18553,4390824,PPM1F,protein phosphatase, Mg2+/Mn2+ dependent 1F,CAMKP;CaMKPase;FEM-2;POPX2;hFEM-2,XM_011530556.1;NM_014634.3;XM_017029108.1,AK294557.1;BC071989.1;AK126377.1;AF305840.1;AK291628.1;BC105599.1;AF520615.1;D13640.1,,Silencer® Select,Inventoried,,*,,,
s5000,4390824,ACSL4,acyl-CoA synthetase long-chain family member 4,ACS4;FACL4;LACS4;MRX63;MRX68,XM_006724635.2;NM_001318510.1;NM_004458.2;NM_001318509.1;XM_005262109.2;XM_011530889.2;XM_011530888.2;NM_022977.2,AB061713.1;AK292070.1;BC034959.2;AK294915.1;AB061714.1;Y12777.1;AF030555.1,,Silencer® Select,Inventoried,,*,,,,
s14502,4390824,TUBG2;TUBG1,tubulin gamma 1;tubulin gamma 2,CDCBM4;GCP-1;TUBG;TUBGCP1,XM_017024454.1;XM_017024455.1;XM_017024456.1;XM_017024457.1;NM_001320509.1;XM_011524614.2;NM_016437.2;NM_001070.4;XM_017024453.1,AK225134.1;BC009670.2;BE727957.1;AK022324.1;M61764.1;BG167819.1;BC000619.2;BC108739.1;AK313339.1;BT019931.1;BC051890.1;AF225971.1;CR407642.1,,Silencer® Select,Inventoried,,*,,,,
s16095,4390824,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,HINCUT-1;HRNT1;O-GLCNAC,NM_181672.2;NM_181673.2;XM_017029907.1;XM_017029908.1,AK313530.1;AL050366.1;AF223393.1;U77413.1;BC038180.1;AL833085.2;BX537844.1;BC014434.1,,Silencer® Select,Inventoried,,*,,,,
s28048,4390824,UCHL5,ubiquitin C-terminal hydrolase L5,CGI-70;INO80R;UCH-L5;UCH37,XM_011509609.2;NR_037607.1;XM_006711371.3;XM_005245249.4;XM_017001444.1;XM_005245248.4;XM_017001443.1;XM_006711367.3;XM_006711368.3;XM_006711369.2;XM_006711370.3;XM_005245244.4;NM_001199263.1;NM_015984.3;XM_011509604.1;XM_006711366.3;XM_017001434.1;XM_017001433.1;NM_001199262.1;XM_011509607.2;XM_017001432.1;NM_001199261.1;XM_017001431.1;XM_011509608.2;XM_017001430.1;XM_017001429.1;XM_017001442.1;XM_005245247.4;XM_017001441.1;XM_005245246.4;XM_017001440.1;XM_017001439.1;XM_017001438.1;XM_017001437.1;XM_017001436.1;XM_017001435.1,AK314445.1;AK296487.1;AK316064.1;AF147717.1;AF157320.1;AK225794.1;AK024751.1;AK301381.1;BT006790.1;AF151828.1;BC015521.1;BC025369.2,,Silencer® Select,Inventoried,,*,,,,
s8285,4390824,LRP3,LDL receptor related protein 3,,XM_005258945.1;NM_002333.3,BC007408.2;AK316314.1;AK295505.1;AK129963.1;AK296536.1;AB009462.1,,Silencer® Select,Inventoried,,*,,,,
s8851,4390824,MMP2,matrix metallopeptidase 2,CLG4;CLG4A;MMP-2;MMP-II;MONA;TBE-1,NM_001302508.1;NM_001127891.2;NM_004530.5;NM_001302510.1;NM_001302509.1,AK310314.1;AL832088.1;AK312711.1;J03210.1;AK301536.1;BC002576.2,,Silencer® Select,Inventoried,,*,,,,
s6093,4390824,MKNK2,MAP kinase interacting serine/threonine kinase 2,GPRK7;MNK2,NM_199054.2;NM_017572.3,AL137565.1;AL137615.1;AF237776.1;AB209074.1;AF125532.1;AK024347.1;AK092536.1,,Silencer® Select,Inventoried,,*,,,,
